#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
FOS	JUND	4438204	4434256	9606.ENSP00000306245	9606.ENSP00000252818	0	0	0	0	0.093	0.885	0.900	0.920	0.999
TNF	TAB2	4448041	4442887	9606.ENSP00000398698	9606.ENSP00000356426	0	0	0	0	0	0.993	0.900	0.524	0.999
TP53	EP300	4435880	4435224	9606.ENSP00000269305	9606.ENSP00000263253	0	0	0	0	0	0.957	0.900	0.845	0.999
IL1R1	IRAK1	4447368	4443435	9606.ENSP00000386380	9606.ENSP00000358997	0	0	0	0	0.051	0.993	0.900	0.815	0.999
IL17A	IL17RA	4441397	4439403	9606.ENSP00000344192	9606.ENSP00000320936	0	0	0	0	0	0.889	0.900	0.948	0.999
PLAU	SERPINE1	4444017	4433266	9606.ENSP00000361850	9606.ENSP00000223095	0	0	0	0	0.214	0.881	0.900	0.926	0.999
ENSG00000255819	MICA	4451508	4448677	9606.ENSP00000480609	9606.ENSP00000413079	0	0	0	0	0	0.800	0.800	0.984	0.999
TRAF6	MAP3K7	4449680	4443300	9606.ENSP00000433623	9606.ENSP00000358335	0	0	0	0	0.062	0.994	0.900	0.741	0.999
CD86	CTLA4	4440320	4438004	9606.ENSP00000332049	9606.ENSP00000303939	0	0	0	0	0.130	0.899	0.900	0.963	0.999
PCNA	FEN1	4445167	4438133	9606.ENSP00000368458	9606.ENSP00000305480	0	0	0	0	0.964	0.994	0.900	0.648	0.999
JUN	FOS	4443699	4438204	9606.ENSP00000360266	9606.ENSP00000306245	0	0	0	0	0.656	0.879	0.900	0.975	0.999
APAF1	CASP9	4450251	4440164	9606.ENSP00000448165	9606.ENSP00000330237	0	0	0	0	0	0.963	0.900	0.977	0.999
IL2RA	IL2	4445295	4433376	9606.ENSP00000369293	9606.ENSP00000226730	0	0	0	0	0.065	0.870	0.900	0.968	0.999
VEGFA	KDR	4451310	4435337	9606.ENSP00000478570	9606.ENSP00000263923	0	0	0	0	0.061	0.472	0.900	0.987	0.999
CD40	CD40LG	4443911	4443586	9606.ENSP00000361359	9606.ENSP00000359663	0	0	0	0	0.061	0.870	0.900	0.974	0.999
ITGAL	ICAM1	4441903	4435501	9606.ENSP00000349252	9606.ENSP00000264832	0	0	0	0	0.090	0.887	0.900	0.932	0.999
ITGB2	ITGAL	4446737	4441903	9606.ENSP00000380948	9606.ENSP00000349252	0	0	0	0	0.418	0.892	0.900	0.866	0.999
TRAF6	TAB2	4449680	4442887	9606.ENSP00000433623	9606.ENSP00000356426	0	0	0	0	0	0.994	0.900	0.879	0.999
RHOA	ARHGDIA	4448110	4435881	9606.ENSP00000400175	9606.ENSP00000269321	0	0	0	0	0.092	0.969	0.900	0.887	0.999
